RacketId;Prezzo;Sesso;ImageLink;ColoreUno;ColoreDue;Profilo;Lunghezza;Peso;NumeroArticolo;PuntoDiEquilibrio;TipoDiGioco;TipoDiProdotto;Telaio;Nucleo;LivelloDiGioco;Forma;Eta;Bilanciamento;Anno;Url;Marca;Modello;VecchioPrezzo
544;217,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-25251-6d7d2bf3-26329-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO GRAFENE";" GOMMA EVA";" AVANZATO";" LACRIMA";NULL;" ";"                                                     ";https://www.padelnuestro.com/it/akkeron-cobra-kronos-21-p-26329.html;akkeron;NULL;460
545;216,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-19083-2e884c25-19680-NORMAL.jpg;nero;giallo;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" LACRIMA";NULL;" MEDIO";" 2020                                                    ";https://www.padelnuestro.com/it/star-vie-basalto-gravity-p-19680.html;star;NULL;310
546;216;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-27956-4b5c367d-30829-NORMAL.jpg;nero;blu;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" FIBRA DI CARBONIO";" GOMMA EVA MORBIDA.";" INTERMEDIO";" ROTONDA";NULL;" BASSO";" 2022                                                    ";https://www.padelnuestro.com/it/wilson-pro-staff-lt-v2-p-30829.html;wilson;NULL;270
547;216;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-23493-03457150-24212-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/black-crown-piton-90-soft-p-24212.html;black;NULL;240
548;216;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-23492-11792951-24211-NORMAL.jpg;nero;argento;0;NULL;NULL;NULL;0;" POTENZA";NULL;" ";" GOMMA BLACK EVA";" AVANZATO";" ROTONDA";NULL;" MEDIO";"                                                     ";https://www.padelnuestro.com/it/black-crown-piton-90-p-24211.html;black;NULL;240
549;215;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-23481-fc3dcc10-24340-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" LACRIMA";NULL;" MEDIO";"                                                     ";https://www.padelnuestro.com/it/softee-summit-red-power-p-24340.html;softee;NULL;240
550;215;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-30969-35258877-31045-NORMAL.jpg;verde;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA";" AVANZATO";" LACRIMA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/softee-summit-green-power-p-31045.html;softee;NULL;240
551;215;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-30970-1489f42e-31022-NORMAL.jpg;grigio;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" LACRIMA";NULL;" ";" 2022                                                    ";https://www.padelnuestro.com/it/softee-summit-royal-power-p-31022.html;softee;NULL;240
552;215;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-30960-48297f57-31070-NORMAL.jpg;nero;NULL;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" HIBRIDA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/softee-outside-p-31070.html;softee;NULL;240
553;210,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-19752-b907d484-20421-NORMAL.jpg;nero;blu;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" DIAMANTE";NULL;" ALTO";" 2020                                                    ";https://www.padelnuestro.com/it/vibora-lethal-attack-p-20421.html;vibora;NULL;340
554;210;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-28778-d86dc01c-35456-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/siux-cayman-p-35456.html;siux;NULL;0
555;209,95;NULL;https://www.padelnuestro.com/images/products/RK2CA0U16_800-1000_1.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-adipower-ctrl-team-2023-p-33118.html;adidas;NULL;0
556;209,95;NULL;https://www.padelnuestro.com/images/products/RK2AB1U14-800-10005).jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/adidas-adipower-team-2023-p-32966.html;adidas;NULL;0
557;174,9;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-26392-4e54d2ce-29639-NORMAL.jpg;nero;argento;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA";" AVANZATO";" HIBRIDA";NULL;" BASSO";" 2022                                                    ";https://www.padelnuestro.com/it/dunlop-galactica-p-29639.html;dunlop;NULL;269,95
558;209,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-14950-951f4b1a-14321-NORMAL.jpg;oro;/;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA BLACK EVA";" AVANZATO";" LACRIMA";NULL;" MEDIO";" 2018                                                    ";https://www.padelnuestro.com/it/siux-spartan-luxury-p-14321.html;siux;NULL;399
559;209,95;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-25186-fddb0c88-29371-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/siux-electra-st1-p-29371.html;siux;NULL;299
560;209;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-14638-8e75c8f8-13997-NORMAL.jpg;bianco;blu;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" CARBONIO";" GOMMA EVA";" AVANZATO";" ROTONDA";NULL;" BASSO";" 2018                                                    ";https://www.padelnuestro.com/it/varlion-lw-carbon-3-p-13997.html;varlion;NULL;230
561;209;Donna;https://www.padelnuestro.com/images/cargador/productos/imagen-1-28434-58a4c3ee-29195-NORMAL.jpg;rosa;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONO 3K";" GOMMA EVA";" INTERMEDIO";" LACRIMA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/rs-padel-prime-edition-20-rosa-donna-p-29195.html;rs;NULL;0
562;209;Donna;https://www.padelnuestro.com/images/cargador/productos/imagen-1-28436-c932369d-29144-NORMAL.jpg;bianco;NULL;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" FIBRA DI CARBONIO";" GOMMA EVA";" INTERMEDIO";" ";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/rs-padel-prime-edition-20-bianco-donna-p-29144.html;rs;NULL;0
563;209;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-9734-8956c0e4-8842-NORMAL.jpg;nero;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" IBRIDA";NULL;" MEDIO";" 2017                                                    ";https://www.padelnuestro.com/it/siux-pegasus-p-8842.html;siux;NULL;520
564;209;Donna;https://www.padelnuestro.com/images/cargador/productos/imagen-1-28435-31dac6f6-29164-NORMAL.jpg;nero;dorato;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONO 3K";" GOMMA EVA";" INTERMEDIO";" LACRIMA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/rs-padel-prime-edition-20-blu-scuro-donna-p-29164.html;rs;NULL;0
565;208,95;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-25920-2b59603d-26815-NORMAL.jpg;nero;giallo;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" CARBONIO";NULL;" INTERMEDIO";" LACRIMA";NULL;" ALTO";"                                                     ";https://www.padelnuestro.com/it/babolat-counter-viper-2022-p-26815.html;babolat;NULL;320
566;207,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-26721-e38f6335-27577-NORMAL.jpg;rosso;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA SUPER SOFT";" AVANZATO";" LACRIMA";NULL;" BASSO";" 2022                                                    ";https://www.padelnuestro.com/it/akkeron-poseidon-2022-p-27577.html;akkeron;NULL;520
567;207,95;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-25228-819d0a0a-31488-NORMAL.jpg;nero;rosso;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" CARBONIO";" GOMMA EVA SUPER SOFT";" AVANZATO";" ROTONDA";NULL;" BASSO";" 2022                                                    ";https://www.padelnuestro.com/it/siux-tsunami-all-black-3k-rosso-p-31488.html;siux;NULL;239
568;206,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-24745-1a479631-29186-NORMAL.jpg;giallo;NULL;0;NULL;NULL;NULL;0;" CONTROLLO";NULL;" FIBRA DI VETRO";" GOMMA EVA";" AVANZATO";" ROTONDA";NULL;" MEDIO / MEDIO ";" 2022                                                    ";https://www.padelnuestro.com/it/siux-black-carbon-brillo-3d-effect-p-29186.html;siux;NULL;229
569;206,95;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-15247-64c34711-15314-NORMAL.jpg;nero;blu;0;NULL;NULL;NULL;0;" POTENZA";NULL;" GRAFENE / CARBONIO ";" GOMMA BLACK EVA";" AVANZATO";" DIAMANTE";NULL;" ALTO";" 2018                                                    ";https://www.padelnuestro.com/it/siux-spyder-luxury-grafeno-p-15314.html;siux;NULL;450
570;205,99;NULL;https://www.padelnuestro.com/images/cargador/productos/imagen-1-30322-97cbfea9-35621-NORMAL.jpg;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;https://www.padelnuestro.com/it/harlem-cyclone-12k-hp-198-p-35621.html;harlem;NULL;229
571;205;Unisex;https://www.padelnuestro.com/images/cargador/productos/imagen-1-30971-fbe6087d-31055-NORMAL.jpg;blu;NULL;0;NULL;NULL;NULL;0;" POLIVALENTE";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" LACRIMA";NULL;" MEDIO";" 2022                                                    ";https://www.padelnuestro.com/it/softee-speed-sky-power-p-31055.html;softee;NULL;230
572;205;Uomini;https://www.padelnuestro.com/images/cargador/productos/imagen-1-23483-3f6de4fe-24379-NORMAL.jpg;blu;argento;0;NULL;NULL;NULL;0;" POTENZA";NULL;" CARBONIO";" GOMMA EVA MORBIDA.";" AVANZATO";" LACRIMA";NULL;" MEDIO";"                                                     ";https://www.padelnuestro.com/it/softee-speed-blue-power-blu-argento-p-24379.html;softee;NULL;230
